                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.78361,                0.62637,                 1.1215,                0.79302,                0.80811,                0.82659,                0.68617,                0.67525,                0.65397,                 1.1163,             0.00058305,             0.00058305,             0.00058305
                     51,                0.79785,                 0.6508,                 1.1398,                0.89755,                0.79296,                0.85629,                0.71801,                0.65764,                0.61541,                 1.0994,             0.00057205,             0.00057205,             0.00057205
                     52,                0.79587,                0.61875,                 1.1237,                0.84376,                0.78616,                0.84407,                0.70925,                0.64604,                0.61529,                 1.0895,             0.00056105,             0.00056105,             0.00056105
                     53,                0.78161,                0.61048,                 1.1147,                0.77973,                0.81347,                0.82047,                0.67467,                0.69452,                0.69508,                 1.1171,             0.00055006,             0.00055006,             0.00055006
                     54,                0.76438,                0.59685,                 1.1028,                 0.8363,                0.76908,                 0.8328,                0.71328,                0.60627,                0.66013,                 1.0764,             0.00053906,             0.00053906,             0.00053906
                     55,                0.78698,                0.63691,                 1.1019,                0.78308,                0.73263,                0.78822,                0.66659,                0.63476,                0.74289,                 1.0757,             0.00052806,             0.00052806,             0.00052806
                     56,                0.77272,                0.60347,                 1.1019,                0.87126,                0.79646,                0.84391,                0.70587,                0.68117,                0.61705,                 1.1217,             0.00051706,             0.00051706,             0.00051706
                     57,                 0.7813,                0.62503,                 1.1103,                0.81279,                0.79337,                0.82598,                0.70464,                0.62682,                0.65961,                 1.0787,             0.00050606,             0.00050606,             0.00050606
                     58,                0.76001,                0.61499,                  1.099,                 0.8494,                0.76594,                0.82411,                 0.7096,                0.62103,                0.62403,                  1.074,             0.00049506,             0.00049506,             0.00049506
                     59,                0.76129,                0.57985,                 1.0966,                0.82857,                0.78454,                0.82755,                0.70157,                0.66743,                0.63525,                  1.073,             0.00048406,             0.00048406,             0.00048406
                     60,                0.74086,                0.57673,                 1.0814,                0.89333,                 0.7792,                0.84358,                0.71731,                0.61334,                0.62889,                 1.0577,             0.00047306,             0.00047306,             0.00047306
                     61,                 0.7635,                0.59008,                 1.0931,                 0.8799,                0.79597,                0.85429,                0.72027,                0.64282,                0.65605,                 1.0817,             0.00046206,             0.00046206,             0.00046206
                     62,                0.72688,                0.57288,                 1.0896,                0.80101,                0.75399,                 0.8229,                0.70336,                0.62062,                0.66838,                 1.0534,             0.00045107,             0.00045107,             0.00045107
                     63,                0.75235,                0.58751,                 1.0856,                 0.8337,                 0.7918,                0.82565,                0.70236,                0.62464,                0.66034,                 1.0691,             0.00044007,             0.00044007,             0.00044007
                     64,                0.73794,                0.54669,                 1.0829,                0.86704,                0.78065,                0.84792,                0.72113,                0.66603,                0.62315,                  1.102,             0.00042907,             0.00042907,             0.00042907
                     65,                0.71321,                0.55072,                 1.0701,                 0.8689,                0.79839,                0.84361,                0.72408,                0.59808,                0.57937,                 1.0445,             0.00041807,             0.00041807,             0.00041807
                     66,                0.72172,                0.55499,                 1.0826,                0.83098,                0.76315,                0.81258,                0.70131,                0.60755,                0.63101,                 1.0537,             0.00040707,             0.00040707,             0.00040707
                     67,                0.71959,                 0.5537,                   1.06,                0.85102,                0.80918,                 0.8563,                0.73717,                0.58759,                 0.5677,                 1.0382,             0.00039607,             0.00039607,             0.00039607
                     68,                0.73183,                0.54956,                 1.0823,                0.81456,                0.80485,                0.82468,                0.71225,                0.62553,                0.62796,                 1.0616,             0.00038507,             0.00038507,             0.00038507
                     69,                 0.7098,                0.52676,                 1.0572,                0.92489,                0.80398,                0.85287,                0.73477,                0.60534,                0.57669,                 1.0433,             0.00037407,             0.00037407,             0.00037407
                     70,                0.69316,                0.52096,                 1.0555,                0.90856,                0.78145,                0.85609,                0.73225,                0.60167,                0.57091,                  1.056,             0.00036307,             0.00036307,             0.00036307
                     71,                0.69008,                0.53162,                 1.0482,                0.88209,                0.81438,                0.86231,                0.73806,                0.60076,                0.59827,                  1.038,             0.00035208,             0.00035208,             0.00035208
                     72,                0.70503,                0.53997,                 1.0669,                0.87121,                0.79716,                0.85209,                 0.7326,                0.60733,                0.57713,                 1.0489,             0.00034108,             0.00034108,             0.00034108
                     73,                0.72283,                0.53277,                 1.0704,                0.82379,                0.76955,                0.82551,                0.71628,                0.59866,                 0.6301,                 1.0442,             0.00033008,             0.00033008,             0.00033008
                     74,                0.72031,                 0.5438,                  1.074,                0.84948,                0.79526,                0.84063,                0.72979,                0.59761,                0.59049,                 1.0467,             0.00031908,             0.00031908,             0.00031908
                     75,                0.68925,                0.52639,                  1.044,                0.87051,                0.81322,                 0.8597,                0.74655,                0.58012,                0.56866,                 1.0342,             0.00030808,             0.00030808,             0.00030808
                     76,                0.69276,                0.52437,                 1.0484,                0.84402,                0.78397,                0.82496,                0.71512,                0.60872,                 0.6566,                 1.0402,             0.00029708,             0.00029708,             0.00029708
                     77,                0.71837,                0.52261,                 1.0624,                0.87443,                0.80853,                0.85255,                0.73109,                0.61334,                0.58893,                 1.0572,             0.00028608,             0.00028608,             0.00028608
                     78,                 0.7217,                0.52462,                 1.0681,                0.89001,                0.82931,                0.85449,                0.74557,                0.58726,                0.57249,                 1.0297,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.7173,                0.52869,                 1.0657,                0.83811,                0.79229,                0.82019,                 0.7065,                0.60602,                0.62556,                 1.0494,             0.00026408,             0.00026408,             0.00026408
                     80,                0.68288,                0.49526,                  1.043,                0.85124,                 0.8074,                0.85018,                0.73634,                0.60884,                0.57492,                 1.0483,             0.00025309,             0.00025309,             0.00025309
                     81,                0.67731,                0.50643,                 1.0445,                0.89597,                0.81121,                0.84118,                0.73103,                0.58156,                0.58358,                 1.0331,             0.00024209,             0.00024209,             0.00024209
                     82,                0.67917,                0.52474,                 1.0461,                0.81415,                0.78605,                0.82811,                0.72231,                0.57928,                0.60083,                  1.024,             0.00023109,             0.00023109,             0.00023109
                     83,                0.66698,                0.49689,                  1.032,                0.85758,                0.80806,                0.84164,                0.72968,                0.59469,                0.57108,                 1.0351,             0.00022009,             0.00022009,             0.00022009
                     84,                0.67061,                0.48802,                 1.0378,                0.86429,                0.78854,                0.84509,                0.72643,                0.59748,                 0.5805,                 1.0339,             0.00020909,             0.00020909,             0.00020909
                     85,                0.68244,                0.49404,                 1.0423,                  0.878,                0.79851,                0.85107,                0.74076,                0.57613,                0.55558,                 1.0133,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.6752,                0.49132,                 1.0339,                0.89031,                0.81447,                0.84673,                0.73439,                0.58375,                0.56722,                 1.0243,             0.00018709,             0.00018709,             0.00018709
                     87,                0.67001,                0.47328,                 1.0318,                0.86967,                0.77438,                0.83299,                0.72393,                0.56716,                0.56842,                 1.0208,             0.00017609,             0.00017609,             0.00017609
                     88,                0.66395,                0.48542,                 1.0264,                0.86345,                0.80737,                0.83911,                0.73036,                0.57447,                0.54777,                  1.023,             0.00016509,             0.00016509,             0.00016509
                     89,                0.68051,                0.48052,                 1.0391,                0.87883,                  0.799,                0.84329,                 0.7319,                0.57686,                 0.5648,                 1.0245,              0.0001541,              0.0001541,              0.0001541
                     90,                0.65346,                0.47983,                  1.032,                0.90181,                0.79181,                0.84713,                0.74157,                0.57448,                 0.5393,                 1.0217,              0.0001431,              0.0001431,              0.0001431
                     91,                 0.5898,                0.41766,                 1.0092,                0.86254,                0.79198,                  0.843,                0.73202,                 0.5916,                0.54236,                 1.0409,              0.0001321,              0.0001321,              0.0001321
                     92,                0.57729,                 0.4025,                 1.0015,                0.86385,                0.79072,                0.83882,                0.73254,                0.56879,                0.59683,                 1.0171,              0.0001211,              0.0001211,              0.0001211
                     93,                0.56873,                0.40785,                0.98907,                0.90363,                0.79487,                0.85396,                0.75047,                0.57261,                0.53406,                 1.0235,              0.0001101,              0.0001101,              0.0001101
                     94,                0.56841,                0.39874,                0.97492,                 0.8523,                 0.7903,                0.83148,                0.72783,                0.57798,                0.57815,                  1.013,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.57121,                0.39771,                 0.9818,                0.87501,                0.80424,                0.84095,                 0.7399,                0.57309,                0.54638,                 1.0092,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.56291,                0.40311,                0.97745,                 0.8878,                0.80035,                0.85157,                0.73944,                0.56597,                0.54234,                 1.0077,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.55574,                0.38654,                 0.9811,                0.88375,                0.80314,                0.84671,                0.73952,                0.56567,                0.53632,                 1.0059,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.54998,                0.37756,                0.97049,                0.87457,                 0.7964,                0.84085,                0.74412,                0.55235,                0.54005,                 1.0013,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.54729,                0.37989,                 0.9688,                0.87863,                0.79975,                0.84408,                0.73841,                0.57019,                0.54901,                 1.0118,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.55416,                0.38169,                0.97494,                0.87837,                0.79415,                0.83854,                0.73693,                0.56039,                0.54767,                 1.0087,             3.3108e-05,             3.3108e-05,             3.3108e-05
